z,y,x
128,2816,1792
129,2816,1792
130,2816,1792
131,2816,1792
132,2816,1792
133,2816,1792
134,2816,1792
135,2816,1792
128,2560,2304
128,2816,2048
128,2816,2304
129,2560,2304
129,2816,2048
129,2816,2304
130,2560,2304
130,2816,2048
130,2816,2304
131,2560,2304
131,2816,2048
131,2816,2304
0,2304,1792
1,2304,1792
2,2304,1792
3,2304,1792
4,2304,1792
5,2304,1792
6,2304,1792
7,2304,1792
0,2304,2304
128,3072,2048
129,3072,2048
130,3072,2048
131,3072,2048
132,3072,2048
133,3072,2048
134,3072,2048
0,2560,1792
0,2816,1792
1,2560,1792
1,2816,1792
2,2560,1792
2,2816,1792
3,2560,1792
3,2816,1792
4,2560,1792
4,2816,1792
5,2560,1792
5,2816,1792
6,2560,1792
6,2816,1792
7,2560,1792
7,2816,1792
0,2560,2048
0,2816,2048
0,2816,2304
1,2560,2048
1,2816,2048
1,2816,2304
2,2560,2048
2,2816,2048
2,2816,2304
3,2560,2048
3,2816,2048
3,2816,2304
0,3072,2048
1,3072,2048
2,3072,2048
3,3072,2048
4,3072,2048
5,3072,2048
6,3072,2048
7,3072,2048
8,3072,2048
9,3072,2048
10,3072,2048
11,3072,2048
12,3072,2048
13,3072,2048
14,3072,2048
15,3072,2048
128,2048,1792
128,2304,1792
129,2048,1792
129,2304,1792
130,2048,1792
130,2304,1792
131,2048,1792
131,2304,1792
132,2048,1792
132,2304,1792
133,2048,1792
133,2304,1792
134,2048,1792
134,2304,1792
135,2048,1792
135,2304,1792
136,2816,1792
137,2816,1792
138,2816,1792
139,2816,1792
140,2816,1792
141,2816,1792
142,2816,1792
143,2816,1792
132,2560,2304
132,2816,2048
132,2816,2304
133,2560,2304
133,2816,2048
133,2816,2304
134,2560,2304
134,2816,2048
134,2816,2304
135,2560,2304
135,2816,2048
135,2816,2304
8,2304,1792
9,2304,1792
10,2304,1792
11,2304,1792
12,2304,1792
13,2304,1792
14,2304,1792
15,2304,1792
8,2560,1792
8,2816,1792
9,2560,1792
9,2816,1792
10,2560,1792
10,2816,1792
11,2560,1792
11,2816,1792
12,2560,1792
12,2816,1792
13,2560,1792
13,2816,1792
14,2560,1792
14,2816,1792
15,2560,1792
15,2816,1792
4,2560,2048
4,2816,2048
4,2816,2304
5,2560,2048
5,2816,2048
5,2816,2304
6,2560,2048
6,2816,2048
6,2816,2304
7,2560,2048
7,2816,2048
7,2816,2304
16,3072,2048
17,3072,2048
18,3072,2048
19,3072,2048
20,3072,2048
21,3072,2048
22,3072,2048
23,3072,2048
24,3072,2048
25,3072,2048
26,3072,2048
27,3072,2048
28,3072,2048
29,3072,2048
30,3072,2048
31,3072,2048
136,2048,1792
136,2304,1792
137,2048,1792
137,2304,1792
138,2048,1792
138,2304,1792
139,2048,1792
139,2304,1792
140,2048,1792
140,2304,1792
141,2048,1792
141,2304,1792
142,2048,1792
142,2304,1792
143,2048,1792
143,2304,1792
144,2816,1792
145,2816,1792
146,2816,1792
147,2816,1792
148,2816,1792
149,2816,1792
150,2816,1792
151,2816,1792
136,2560,2304
136,2816,2048
136,2816,2304
137,2560,2304
137,2816,2048
137,2816,2304
138,2560,2304
138,2816,2048
138,2816,2304
139,2560,2304
139,2816,2048
139,2816,2304
16,2304,1792
17,2304,1792
18,2304,1792
19,2304,1792
20,2304,1792
21,2304,1792
22,2304,1792
23,2304,1792
162,3072,2048
163,3072,2048
164,3072,2048
165,3072,2048
166,3072,2048
167,3072,2048
168,3072,2048
169,3072,2048
170,3072,2048
171,3072,2048
172,3072,2048
173,3072,2048
174,3072,2048
175,3072,2048
16,2560,1792
16,2816,1792
17,2560,1792
17,2816,1792
18,2560,1792
18,2816,1792
19,2560,1792
19,2816,1792
20,2560,1792
20,2816,1792
21,2560,1792
21,2816,1792
22,2560,1792
22,2816,1792
23,2560,1792
23,2816,1792
8,2560,2048
8,2816,2048
8,2816,2304
9,2560,2048
9,2816,2048
9,2816,2304
10,2560,2048
10,2816,2048
10,2816,2304
11,2560,2048
11,2816,2048
11,2816,2304
32,3072,2048
33,3072,2048
34,3072,2048
35,3072,2048
36,3072,2048
37,3072,2048
38,3072,2048
39,3072,2048
40,3072,2048
41,3072,2048
42,3072,2048
43,3072,2048
44,3072,2048
45,3072,2048
46,3072,2048
47,3072,2048
144,2048,1792
144,2304,1792
145,2048,1792
145,2304,1792
146,2048,1792
146,2304,1792
147,2048,1792
147,2304,1792
148,2048,1792
148,2304,1792
149,2048,1792
150,2048,1792
151,2048,1792
152,2816,1792
153,2816,1792
154,2816,1792
155,2816,1792
156,2816,1792
157,2816,1792
158,2816,1792
159,2816,1792
140,2560,2304
140,2816,2048
140,2816,2304
141,2560,2304
141,2816,2048
141,2816,2304
142,2560,2304
142,2816,2048
142,2816,2304
143,2560,2304
143,2816,2048
143,2816,2304
24,2304,1792
25,2304,1792
26,2304,1792
27,2304,1792
28,2304,1792
29,2304,1792
30,2304,1792
31,2304,1792
176,3072,2048
24,2560,1792
24,2816,1792
25,2560,1792
25,2816,1792
26,2560,1792
26,2816,1792
27,2560,1792
27,2816,1792
28,2560,1792
28,2816,1792
29,2560,1792
29,2816,1792
30,2560,1792
30,2816,1792
31,2560,1792
31,2816,1792
12,2560,2048
12,2816,2048
12,2816,2304
13,2560,2048
13,2816,2048
14,2560,2048
14,2816,2048
15,2560,2048
15,2816,2048
48,3072,2048
49,3072,2048
50,3072,2048
51,3072,2048
52,3072,2048
53,3072,2048
54,3072,2048
55,3072,2048
56,3072,2048
57,3072,2048
58,3072,2048
59,3072,2048
60,3072,2048
61,3072,2048
62,3072,2048
63,3072,2048
152,2048,1792
153,2048,1792
154,2048,1792
155,2048,1792
156,2048,1792
157,2048,1792
158,2048,1792
159,2048,1792
160,2816,1792
161,2816,1792
162,2816,1792
163,2816,1792
164,2816,1792
165,2816,1792
166,2816,1792
167,2816,1792
144,2560,2304
144,2816,2048
144,2816,2304
145,2560,2304
145,2816,2048
145,2816,2304
146,2560,2304
146,2816,2048
146,2816,2304
147,2560,2304
147,2816,2048
147,2816,2304
32,2304,1792
33,2304,1792
34,2304,1792
35,2304,1792
36,2304,1792
37,2304,1792
38,2304,1792
39,2304,1792
32,2560,1792
32,2816,1792
33,2560,1792
33,2816,1792
34,2560,1792
34,2816,1792
35,2560,1792
35,2816,1792
36,2560,1792
36,2816,1792
37,2560,1792
37,2816,1792
38,2560,1792
38,2816,1792
39,2560,1792
39,2816,1792
16,2560,2048
16,2816,2048
17,2560,2048
17,2816,2048
18,2560,2048
18,2816,2048
19,2560,2048
19,2816,2048
64,3072,2048
65,3072,2048
66,3072,2048
67,3072,2048
68,3072,2048
69,3072,2048
70,3072,2048
71,3072,2048
72,3072,2048
73,3072,2048
74,3072,2048
75,3072,2048
76,3072,2048
77,3072,2048
78,3072,2048
79,3072,2048
160,2048,1792
161,2048,1792
162,2048,1792
163,2048,1792
164,2048,1792
165,2048,1792
166,2048,1792
167,2048,1792
168,2816,1792
169,2816,1792
170,2816,1792
171,2816,1792
172,2816,1792
173,2816,1792
174,2816,1792
175,2816,1792
148,2560,2304
148,2816,2048
148,2816,2304
149,2560,2304
149,2816,2048
149,2816,2304
150,2560,2304
150,2816,2048
150,2816,2304
151,2560,2304
151,2816,2048
151,2816,2304
40,2304,1792
41,2304,1792
42,2304,1792
43,2304,1792
44,2304,1792
45,2304,1792
46,2304,1792
47,2304,1792
40,2560,1792
40,2816,1792
41,2560,1792
41,2816,1792
42,2560,1792
42,2816,1792
43,2560,1792
43,2816,1792
44,2560,1792
44,2816,1792
45,2560,1792
45,2816,1792
46,2560,1792
46,2816,1792
47,2560,1792
47,2816,1792
20,2560,2048
20,2816,2048
21,2560,2048
21,2816,2048
22,2560,2048
22,2816,2048
23,2560,2048
23,2816,2048
80,3072,2048
81,3072,2048
82,3072,2048
83,3072,2048
84,3072,2048
85,3072,2048
86,3072,2048
87,3072,2048
88,3072,2048
89,3072,2048
90,3072,2048
91,3072,2048
92,3072,2048
93,3072,2048
94,3072,2048
95,3072,2048
168,2048,1792
169,2048,1792
170,2048,1792
171,2048,1792
172,2048,1792
173,2048,1792
174,2048,1792
175,2048,1792
176,2816,1792
152,2560,2304
152,2816,2048
152,2816,2304
153,2816,2048
153,2816,2304
154,2816,2048
154,2816,2304
155,2816,2048
155,2816,2304
48,2304,1792
49,2304,1792
50,2304,1792
51,2304,1792
52,2304,1792
53,2304,1792
54,2304,1792
55,2304,1792
48,2560,1792
48,2816,1792
49,2560,1792
49,2816,1792
50,2560,1792
50,2816,1792
51,2560,1792
51,2816,1792
52,2560,1792
52,2816,1792
53,2560,1792
53,2816,1792
54,2560,1792
54,2816,1792
55,2560,1792
55,2816,1792
24,2560,2048
24,2816,2048
25,2560,2048
25,2816,2048
26,2560,2048
26,2816,2048
27,2560,2048
27,2816,2048
96,3072,2048
97,3072,2048
98,3072,2048
99,3072,2048
100,3072,2048
101,3072,2048
102,3072,2048
103,3072,2048
104,3072,2048
105,3072,2048
106,3072,2048
107,3072,2048
108,3072,2048
109,3072,2048
110,3072,2048
111,3072,2048
176,2048,1792
156,2816,2048
156,2816,2304
157,2816,2048
157,2816,2304
158,2816,2048
158,2816,2304
159,2816,2048
159,2816,2304
56,2304,1792
57,2304,1792
58,2304,1792
59,2304,1792
60,2304,1792
61,2304,1792
62,2304,1792
63,2304,1792
56,2560,1792
56,2816,1792
57,2560,1792
57,2816,1792
58,2560,1792
58,2816,1792
59,2560,1792
59,2816,1792
60,2560,1792
60,2816,1792
61,2560,1792
61,2816,1792
62,2560,1792
62,2816,1792
63,2560,1792
63,2816,1792
28,2560,2048
28,2816,2048
29,2560,2048
29,2816,2048
29,2816,2304
30,2560,2048
30,2816,2048
30,2816,2304
31,2560,2048
31,2816,2048
31,2816,2304
112,3072,2048
113,3072,2048
114,3072,2048
115,3072,2048
116,3072,2048
117,3072,2048
118,3072,2048
119,3072,2048
120,3072,2048
121,3072,2048
122,3072,2048
123,3072,2048
124,3072,2048
125,3072,2048
126,3072,2048
127,3072,2048
160,2816,2048
160,2816,2304
161,2816,2048
161,2816,2304
162,2816,2048
162,2816,2304
163,2816,2048
163,2816,2304
64,2304,1792
65,2304,1792
66,2304,1792
67,2304,1792
68,2304,1792
69,2304,1792
70,2304,1792
71,2304,1792
64,2816,1792
65,2816,1792
66,2816,1792
67,2816,1792
68,2816,1792
69,2816,1792
70,2816,1792
71,2816,1792
32,2560,2048
32,2816,2048
32,2816,2304
33,2560,2048
33,2816,2048
33,2816,2304
34,2560,2048
34,2816,2048
34,2816,2304
35,2560,2048
35,2816,2048
35,2816,2304
164,2816,2048
164,2816,2304
165,2816,2048
165,2816,2304
166,2816,2048
166,2816,2304
167,2816,2048
167,2816,2304
72,2304,1792
73,2304,1792
74,2304,1792
75,2304,1792
76,2304,1792
77,2304,1792
78,2304,1792
79,2304,1792
72,2816,1792
73,2816,1792
74,2816,1792
75,2816,1792
76,2816,1792
77,2816,1792
78,2816,1792
79,2816,1792
36,2560,2048
36,2816,2048
36,2816,2304
37,2560,2048
37,2816,2048
37,2816,2304
38,2560,2048
38,2816,2048
38,2816,2304
39,2560,2048
39,2816,2048
39,2816,2304
168,2816,2048
168,2816,2304
169,2816,2048
169,2816,2304
170,2816,2048
170,2816,2304
171,2816,2048
171,2816,2304
80,2304,1792
81,2304,1792
82,2304,1792
83,2304,1792
84,2304,1792
85,2304,1792
86,2304,1792
87,2304,1792
80,2816,1792
81,2816,1792
82,2816,1792
83,2816,1792
84,2816,1792
85,2816,1792
86,2816,1792
87,2816,1792
40,2560,2048
40,2816,2048
40,2816,2304
41,2560,2048
41,2816,2048
41,2816,2304
42,2560,2048
42,2816,2048
42,2816,2304
43,2560,2048
43,2816,2048
43,2816,2304
172,2816,2048
172,2816,2304
173,2816,2048
173,2816,2304
174,2816,2048
174,2816,2304
175,2816,2048
175,2816,2304
88,2304,1792
89,2304,1792
90,2304,1792
91,2304,1792
92,2304,1792
93,2304,1792
94,2304,1792
95,2304,1792
88,2816,1792
89,2816,1792
90,2816,1792
91,2816,1792
92,2816,1792
93,2816,1792
94,2816,1792
95,2816,1792
44,2560,2048
44,2816,2048
44,2816,2304
45,2560,2048
45,2816,2048
45,2816,2304
46,2560,2048
46,2816,2048
46,2816,2304
47,2560,2048
47,2816,2048
47,2816,2304
176,2816,2048
176,2816,2304
96,2304,1792
97,2304,1792
98,2304,1792
99,2304,1792
100,2304,1792
101,2304,1792
102,2304,1792
103,2304,1792
96,2816,1792
97,2816,1792
98,2816,1792
99,2816,1792
100,2816,1792
101,2816,1792
102,2816,1792
103,2816,1792
48,2560,2048
48,2816,2048
48,2816,2304
49,2560,2048
49,2816,2048
49,2816,2304
50,2560,2048
50,2816,2048
50,2816,2304
51,2560,2048
51,2816,2048
51,2816,2304
104,2304,1792
105,2304,1792
106,2304,1792
107,2304,1792
108,2048,1792
108,2304,1792
109,2048,1792
109,2304,1792
110,2048,1792
110,2304,1792
111,2048,1792
111,2304,1792
104,2816,1792
105,2816,1792
106,2816,1792
107,2816,1792
108,2816,1792
109,2816,1792
110,2816,1792
111,2816,1792
52,2560,2048
52,2816,2048
52,2816,2304
53,2560,2048
53,2816,2048
53,2816,2304
54,2560,2048
54,2816,2048
54,2816,2304
55,2560,2048
55,2816,2048
55,2816,2304
112,2048,1792
112,2304,1792
113,2048,1792
113,2304,1792
114,2048,1792
114,2304,1792
115,2048,1792
115,2304,1792
116,2048,1792
116,2304,1792
117,2048,1792
117,2304,1792
118,2048,1792
118,2304,1792
119,2048,1792
119,2304,1792
112,2816,1792
113,2816,1792
114,2816,1792
115,2816,1792
116,2816,1792
117,2816,1792
118,2816,1792
119,2816,1792
56,2560,2048
56,2816,2048
56,2816,2304
57,2560,2048
57,2816,2048
57,2816,2304
58,2560,2048
58,2816,2048
58,2816,2304
59,2560,2048
59,2816,2048
59,2816,2304
120,2048,1792
120,2304,1792
121,2048,1792
121,2304,1792
122,2048,1792
122,2304,1792
123,2048,1792
123,2304,1792
124,2048,1792
124,2304,1792
125,2048,1792
125,2304,1792
126,2048,1792
126,2304,1792
127,2048,1792
127,2304,1792
120,2816,1792
121,2816,1792
122,2816,1792
123,2816,1792
124,2816,1792
125,2816,1792
126,2816,1792
127,2816,1792
60,2560,2048
60,2816,2048
60,2816,2304
61,2560,2048
61,2816,2048
61,2816,2304
62,2560,2048
62,2816,2048
62,2816,2304
63,2560,2048
63,2816,2048
63,2816,2304
64,2560,2048
64,2816,2048
64,2816,2304
65,2560,2048
65,2816,2048
65,2816,2304
66,2560,2048
66,2816,2048
66,2816,2304
67,2560,2048
67,2816,2048
67,2816,2304
68,2560,2048
68,2816,2048
68,2816,2304
69,2560,2048
69,2816,2048
69,2816,2304
70,2560,2048
70,2816,2048
70,2816,2304
71,2560,2048
71,2816,2048
71,2816,2304
72,2560,2048
72,2816,2048
72,2816,2304
73,2560,2048
73,2816,2048
73,2816,2304
74,2560,2048
74,2816,2048
74,2816,2304
75,2560,2048
75,2816,2048
75,2816,2304
76,2560,2048
76,2816,2048
76,2816,2304
77,2560,2048
77,2560,2304
77,2816,2048
77,2816,2304
78,2560,2048
78,2560,2304
78,2816,2048
78,2816,2304
79,2560,2048
79,2560,2304
79,2816,2048
79,2816,2304
80,2560,2048
80,2560,2304
80,2816,2048
80,2816,2304
81,2560,2048
81,2560,2304
81,2816,2048
81,2816,2304
82,2560,2048
82,2560,2304
82,2816,2048
82,2816,2304
83,2560,2048
83,2560,2304
83,2816,2048
83,2816,2304
84,2560,2048
84,2560,2304
84,2816,2048
84,2816,2304
85,2560,2048
85,2560,2304
85,2816,2048
85,2816,2304
86,2560,2048
86,2560,2304
86,2816,2048
86,2816,2304
87,2560,2048
87,2560,2304
87,2816,2048
87,2816,2304
88,2560,2048
88,2560,2304
88,2816,2048
88,2816,2304
89,2560,2048
89,2560,2304
89,2816,2048
89,2816,2304
90,2560,2048
90,2560,2304
90,2816,2048
90,2816,2304
91,2560,2048
91,2560,2304
91,2816,2048
91,2816,2304
92,2560,2048
92,2560,2304
92,2816,2048
92,2816,2304
93,2560,2048
93,2560,2304
93,2816,2048
93,2816,2304
94,2560,2048
94,2560,2304
94,2816,2048
94,2816,2304
95,2560,2048
95,2560,2304
95,2816,2048
95,2816,2304
96,2560,2048
96,2560,2304
96,2816,2048
96,2816,2304
97,2560,2048
97,2560,2304
97,2816,2048
97,2816,2304
98,2560,2048
98,2560,2304
98,2816,2048
98,2816,2304
99,2560,2048
99,2560,2304
99,2816,2048
99,2816,2304
100,2560,2048
100,2560,2304
100,2816,2048
100,2816,2304
101,2560,2048
101,2560,2304
101,2816,2048
101,2816,2304
102,2560,2048
102,2560,2304
102,2816,2048
102,2816,2304
103,2560,2048
103,2560,2304
103,2816,2048
103,2816,2304
104,2560,2048
104,2816,2048
104,2816,2304
105,2560,2048
105,2816,2048
105,2816,2304
106,2560,2048
106,2816,2048
106,2816,2304
107,2560,2048
107,2816,2048
107,2816,2304
108,2560,2048
108,2816,2048
108,2816,2304
109,2560,2048
109,2816,2048
109,2816,2304
110,2560,2048
110,2816,2048
110,2816,2304
111,2560,2048
111,2816,2048
111,2816,2304
112,2560,2048
112,2816,2048
112,2816,2304
113,2560,2048
113,2816,2048
113,2816,2304
114,2560,2048
114,2816,2048
114,2816,2304
115,2560,2048
115,2816,2048
115,2816,2304
116,2816,2048
116,2816,2304
117,2816,2048
117,2816,2304
118,2816,2048
118,2816,2304
119,2816,2048
119,2816,2304
120,2816,2048
120,2816,2304
121,2816,2048
121,2816,2304
122,2816,2048
122,2816,2304
123,2560,2304
123,2816,2048
123,2816,2304
124,2560,2304
124,2816,2048
124,2816,2304
125,2560,2304
125,2816,2048
125,2816,2304
126,2560,2304
126,2816,2048
126,2816,2304
127,2560,2304
127,2816,2048
127,2816,2304
