bone_volume_fraction,trabecular_thickness_mean,trabecular_thickness_std,trabecular_spacing_mean,trabecular_spacing_std,trabecular_number,patch_idx,source
0.5181974768638611,1.0402746162815188,0.2976936478248792,0.953806230487423,0.26316071336446617,0.4981352700079982,0,QCT
0.09631133079528809,1.423510127192914,0.5413320589401264,10.071257555017892,2.7582633009404756,0.06765763653905918,1,QCT
0.31120532751083374,1.026861577891074,0.4120583096131187,1.4580336710818778,0.41248621883479786,0.30306453587442084,2,QCT
0.2654547095298767,2.2149671025881608,1.256916527683537,6.299054268102167,2.9994658477497986,0.11984589261831305,3,QCT
0.04616302251815796,1.9411398854824211,0.4624699218311879,16.289730901344193,1.8666511860356163,0.023781399199205733,4,QCT
0.5712646842002869,1.094919412386525,0.2165849448767044,0.9446359695726924,0.32838352997331116,0.521741306015516,5,QCT
0.443153440952301,1.0559980168621372,0.273666795290719,1.1329928348068952,0.29718265755053863,0.4196536677872906,6,QCT
0.1454002857208252,0.9240013493578352,0.30003611118679563,4.439822210287047,2.2974468039815306,0.15735938678214687,7,QCT
0.5132707357406616,1.0727045421291639,0.29667051449824716,1.0247422491561784,0.31078751659065335,0.4784828585902071,8,QCT
0.6346092820167542,1.2894547929278741,0.2966638520571369,1.0088190801338695,0.3904994447820505,0.49215318404128894,9,QCT
0.5287996530532837,1.0491292165397712,0.2276397806114184,0.9730281441154073,0.26252563907789733,0.5040367237101318,10,QCT
0.047698140144348145,1.7666548222010865,0.8244202110385797,13.323972975916213,3.3902474905086586,0.026999128264864287,11,QCT
0.49314701557159424,1.016349461485774,0.3092006036808955,0.976670576033158,0.2665928216058423,0.4852140275163583,12,QCT
0.8521694540977478,2.516466899302475,0.7433214569419758,0.916964984768102,0.29393594622240926,0.33863725937899514,13,QCT
0.5754071474075317,1.1308173703709172,0.43113158491085724,0.9043087196674999,0.30910078206605274,0.5088418010582855,14,QCT
0.5072326064109802,1.2756158813530887,0.43974494992732055,1.272848563672396,0.5254321713605957,0.3976374187760516,15,QCT
0.8538897037506104,2.658887999543234,0.5712210135287651,0.9492870039937692,0.30576633356010885,0.3211454201520706,16,QCT
0.41025716066360474,0.9136568433884655,0.24339957144301763,1.0462261086717408,0.2803648613897934,0.44902762304290317,17,QCT
0.4592699408531189,1.1211278954747372,0.3806739451606074,1.1841269683016282,0.3307719263355322,0.4096499094411016,18,QCT
0.7064265012741089,1.5589281016553376,0.5167318743930575,0.9872912375011078,0.3711788685201374,0.45314886589317016,19,QCT
0.29689598083496094,0.4834175957331699,0.12532343067555804,0.8082562139764604,0.22090148412265348,0.6141604762745075,0,HR-pQCT_LR
0.13667160272598267,1.0321160315286055,0.6507071564277332,3.79246355250118,2.0424340179564346,0.13241883523848236,1,HR-pQCT_LR
0.15682494640350342,0.5089594853535288,0.18838968808907433,1.5143933254210449,0.5562884095776817,0.30812854640987997,2,HR-pQCT_LR
0.27542364597320557,1.3745657220654504,0.752509341507467,2.596233330360887,1.2590218895659617,0.20037139116152874,3,HR-pQCT_LR
0.07250022888183594,1.4356838138041361,1.1718265777494752,2.936892820715425,1.254809756073068,0.05049874365423947,4,HR-pQCT_LR
0.2213239073753357,0.48165033896361537,0.13277124937424412,1.033236028657797,0.26790427213256096,0.4595115781534929,5,HR-pQCT_LR
0.27138447761535645,0.4884883514460721,0.13136480458736274,0.948554086329787,0.3155571171320881,0.5555597729443843,6,HR-pQCT_LR
0.1390199065208435,0.6226370590254998,0.332753764642399,1.8952468783342267,0.9132210424634465,0.22327599121457048,7,HR-pQCT_LR
0.27014172077178955,0.5009271825076981,0.13610121187525134,1.0167224688599688,0.32225182796866314,0.5392834132486674,8,HR-pQCT_LR
0.23849856853485107,0.4829141927489107,0.13326219901295336,1.0589274958487176,0.3656856240101532,0.49387359517689194,9,HR-pQCT_LR
0.24416303634643555,0.46550719827874176,0.12528876604777076,0.9074868744036988,0.23635156584623035,0.5245096901814884,10,HR-pQCT_LR
0.0614047646522522,1.3547030496128785,0.9320333599672999,4.298112268822304,2.4065973383779586,0.04532710299116791,11,HR-pQCT_LR
0.2788814902305603,0.47233962939490004,0.12063779095090098,0.8286732303803862,0.2202522498328924,0.5904257717859221,12,HR-pQCT_LR
0.24814099073410034,0.4851056729205303,0.14203081034634837,0.9248292382418418,0.2502283166023054,0.5115194576888624,13,HR-pQCT_LR
0.24226665496826172,0.4666100316037148,0.13445910628199023,0.8976902111985565,0.24644000769176364,0.5192058433368945,14,HR-pQCT_LR
0.28198862075805664,0.4988499292889919,0.1601064563274047,0.9690079493968515,0.40196179052959974,0.5652774596159079,15,HR-pQCT_LR
0.15585166215896606,0.49697449462166116,0.17316074708055315,1.3027575080565361,0.4205279794464279,0.31360092689990754,16,HR-pQCT_LR
0.20558083057403564,0.4697551809889546,0.13220450249638752,1.0397025844753642,0.2913456422836436,0.43763398232508155,17,HR-pQCT_LR
0.2535058259963989,0.4899082147712375,0.1393573040747251,1.039128690157427,0.38625478436546773,0.5174557567171504,18,HR-pQCT_LR
0.2368762493133545,0.4939516502149906,0.15224540588615787,1.0321742722730942,0.3265336749402478,0.4795535134061299,19,HR-pQCT_LR
0.3599247932434082,1.1768325864883653,0.37827310637785905,1.4791301370347765,0.42938563809479285,0.3058419671377502,0,HR_blurred
0.14845818281173706,2.0420635422419062,0.7966854762901087,10.81598676438014,2.6993573317707846,0.07270007996359912,1,HR_blurred
0.1832432746887207,1.3654354854682231,0.6224157068149889,2.662897424670714,0.7432307488359076,0.1342013420911531,2,HR_blurred
0.2731385827064514,3.1964734527979766,1.2748333914538628,8.994253230446768,2.478520513725328,0.08544997690106401,3,HR_blurred
0.05187100172042847,3.7890984479305114,1.4833951737440945,15.710854099019164,1.867829096406385,0.013689536556844756,4,HR_blurred
0.33944171667099,1.097054819940188,0.31690283807247216,1.5998687992489224,0.503125032023561,0.30941180923802564,5,HR_blurred
0.3914445638656616,1.3389446993079963,0.37660363100645766,1.9255288126035044,0.8869359257337597,0.292353047939897,6,HR_blurred
0.14423656463623047,1.2353326225878516,0.4554593695861184,6.097177661538529,3.0822729922649432,0.1167592938119571,7,HR_blurred
0.38154149055480957,1.2494199493189013,0.4140586366103035,1.6471623166811933,0.45451799314330843,0.30537489877826907,8,HR_blurred
0.33296841382980347,1.2211102026601028,0.47355972901261234,1.7051000002998522,0.6182310641955382,0.2726767928926113,9,HR_blurred
0.3478621244430542,1.091520100813629,0.30527121854141753,1.5791394866313173,0.5131706885321821,0.3186951153567897,10,HR_blurred
0.04666638374328613,2.308096275422788,0.7670131809819886,13.783304238105636,2.5084581924395084,0.020218560308857984,11,HR_blurred
0.40528231859207153,1.2907825529483004,0.533331342925378,1.4866968163047116,0.583477530842664,0.31398186911215886,12,HR_blurred
0.35314124822616577,1.176147550145671,0.45190079143205536,1.5055633016667356,0.45997561642349477,0.30025250503852824,13,HR_blurred
0.33191972970962524,1.3177140668785965,0.8444700057932788,1.6716442960389666,0.5416173340644445,0.25189055657262377,14,HR_blurred
0.43718045949935913,1.6323273415399775,0.7518907432068186,2.299151733707452,1.5216752120099655,0.26782646370850616,15,HR_blurred
0.17468446493148804,1.7498408951623536,0.8855234701076211,4.163141370164636,1.361592386786072,0.09982877038388137,16,HR_blurred
0.28890877962112427,1.1040922949728669,0.3763337380514099,1.7472685860476989,0.577645291400616,0.26167085934443934,17,HR_blurred
0.3710706830024719,1.5448635815987997,0.6768134826116814,2.1150619699384894,0.7287159198339618,0.240196407904474,18,HR_blurred
0.2988061308860779,1.4442229245925793,0.6454147292228122,2.343703362656307,0.7950701250198148,0.20689751270246054,19,HR_blurred
